province,trueName
"云南省","云南省昆明市盘龙区云南顺丰速运有限公司收派员－者发贵－全国劳动模范"
"陕西省","陕西省西安市雁塔区长延堡街道电视塔社区党委书记、居委会主任－王晓龙－全国民族团结进步模范个人"
"陕西省","陕西省咸阳市秦都区渭滨街道七〇四社区党支部书记、居委会主任－赵亚莉－全国优秀城乡社区工作者"
"陕西省","陕西省延安市黄龙县龙门城东社区党总支书记、居委会主任－王丹－全国优秀城乡社区工作者"
"陕西省","陕西省咸阳市杨陵区李台街道阳光社区人民调解委员会主任、党支部书记、居委会主任－万传慧－全国优秀党务工作者"
"陕西省","陕西省榆林市榆阳区新明楼街道三官会社区党支部书记－李小玲－全国优秀城乡社区工作者"
"陕西省","陕西省西安市灞桥区洪庆街道庆华社区党支部书记、居委会主任－党芳玲－全国模范人民调解员"
"陕西省","陕西省西安市碑林区南院门街道钟楼社区治安指导员－姚六一－全国先进工作者"
"陕西省","陕西省西安市碑林区太乙路街道铁路局社区人民调解委员会调解员－陈晓军－全国模范人民调解员"
"陕西省","陕西省安康市汉滨区鼓楼社区党总支书记、居委会主任－马英－全国民族团结进步模范个人"
"陕西省","陕西省西安市碑林区张家村街道办安监所负责人－张小蔚－全国先进工作者"
"陕西省","陕西省西安市新城区长乐中路街道东尚社区原社区党委书记、居委会主任－刘丹－全国优秀城乡社区工作者"
"陕西省","陕西省西安市新城区中山门街道万达社区党委书记、居委会主任－武峰－全国优秀城乡社区工作者"
"陕西省","陕西省安康市汉江志愿者救生队队长－周云康－全国道德模范"
"陕西省","陕西省安康市旬阳市桐木镇人民政府平安法治办主任、镇调委会副主任－黄家华－全国模范人民调解员"
"陕西省","陕西省汉中市勉县勉阳街道何营社区工作者－杨芬－全国优秀城乡社区工作者"
"陕西省","陕西省商洛市商州区城关街道名人街社区工作者－褚妍－全国优秀城乡社区工作者"
"陕西省","陕西省铜川市王益区红旗街街道红旗社区党支部书记、居委会主任－李秋莲－全国三八红旗手"
"陕西省","陕西省铜川市耀州区永安路街道东站社区党总支书记－杨怀勇－全国模范退役军人、全国民族团结进步模范个人"
"陕西省","陕西省铜川市耀州区解放社区党总支书记－杨莎－全国优秀城乡社区工作者"
"陕西省","陕西省铜川市耀州区永安路街道解放社区居民－李艳华－全国道德模范"
"青海省","青海省西宁市南滩街道建新社区党委书记、居委会主任－马兰－全国民族团结进步模范个人"
"天津市","天津市河东区二号桥街道陶然庭苑社区党委书记－张丽－全国优秀党务工作者"
"天津市","天津市蓟州区文昌街道佳城社区党委书记、居委会主任－马俭－全国优秀城乡社区工作者"
"天津市","天津市津南区双新街道万盈家园社区党总支书记、居委会主任－刘丽－全国优秀城乡社区工作者"
"天津市","天津市南开区水上公园街道观景里社区党委书记、居委会主任－马梅－全国劳动模范"
"天津市","天津市宁河区秋萍巾帼志愿服务中心负责人－李秋萍－全国三八红旗手"
"天津市","天津市武清区东蒲洼街道蒲瑞馨园西社区调解员－沙乃臻－全国模范人民调解员"
"天津市","天津市北辰区瑞景街道宝翠花都社区党总支书记、居委会主任－林则银－全国抗击新冠肺炎疫情先进个人、全国三八红旗手、全国优秀共产党员、全国先进工作者"
"天津市","天津市和平区小白楼街道开封道社区党委书记、居委会主任－赵金梅－全国劳动模范"
"天津市","天津市河东区二号桥街道福东北里社区党委书记－徐晓娴－全国模范人民调解员、全国优秀城乡社区工作者"
"宁夏回族自治区","宁夏回族自治区银川市金凤区长城花园社区党委书记－赵耐香－党的二十大代表、2025年全国劳动模范"
"宁夏回族自治区","宁夏回族自治区银川市永宁县南环社区党委书记、居委会主任－赵敬如－全国优秀城乡社区工作者"
"宁夏回族自治区","宁夏回族自治区固原市彭阳县白阳镇社区服务中心主任－刘蕊－全国民族团结进步模范个人"
"宁夏回族自治区","宁夏回族自治区固原市原州区北塬街道文化巷社区党支部书记、居委会主任－高冠茹－全国优秀城乡社区工作者"
"宁夏回族自治区","宁夏回族自治区石嘴山市平罗县城关镇明珠社区党支部书记、居委会主任－李红梅－全国三八红旗手、全国民族团结进步模范个人、全国最美志愿者"
"宁夏回族自治区","宁夏回族自治区吴忠市利通区胜利镇正源社区党委书记、居委会主任－马自琴－全国抗击新冠肺炎疫情先进个人"
"宁夏回族自治区","宁夏回族自治区吴忠市红寺堡区大正畜禽生产技术服务专业合作社理事长－寇启芳－全国劳动模范"
"宁夏回族自治区","宁夏回族自治区吴忠市利通区金星镇人民政府金星镇统战干部、镇公用事业中心干部－张丽萍－全国最美城乡社区工作者、全国民族团结进步模范个人"
"宁夏回族自治区","宁夏回族自治区银川市西夏区共享社区居民－王菊茹－全国民族团结进步模范个人"
"宁夏回族自治区","宁夏回族自治区吴忠市利通区金星镇王兰花热心小组党支部书记、慈善协会会长－王兰花－全国优秀社区工作者、全国三八红旗手、全国奉献之星、全国优秀志愿者、全国道德模范提名奖"
"新疆维吾尔自治区","新疆维吾尔自治区乌鲁木齐市天山区大湾街道办事处党工委委员、办事处副主任－热孜万古丽·沙吾提－党的二十大代表、全国优秀党务工作者、全国优秀城乡社区工作者、全国民族团结进步"
"新疆维吾尔自治区","新疆维吾尔自治区昌吉州阜康市阜新街道阜兴花苑小区网格党总支书记、业委会主任－杨文仁－全国模范人民调解员"
"新疆维吾尔自治区","新疆维吾尔自治区昌吉州吉木萨尔县满城路社区干部－巴哈义古丽·尼合买提－全国三八红旗手、全国先进工作者"
"新疆维吾尔自治区","新疆维吾尔自治区哈密市伊州区城北街道光辉社区党委书记、居委会主任－刘玲丽－全国优秀城乡社区工作者"
"新疆维吾尔自治区","新疆维吾尔自治区乌鲁木齐市头屯河区中亚南路街道广州街社区党委书记－热先古力·托乎提－党的十九大代表、全国最美城乡社区工作者、全国民族团结进步模范个人"
"新疆生产建设兵团","新疆生产建设兵团第八师石河子市新城街道八社区居民委员会副主任－焦振西－全国优秀城乡社区工作者"
"新疆生产建设兵团","新疆生产建设兵团第六师新湖农场迎宾路社区党总支书记、居委会主任－朱丽敏－全国优秀城乡社区工作者"
"新疆生产建设兵团","新疆生产建设兵团第六师五家渠市芳草湖农场振兴南路社区原党支部书记－杨正亮－全国优秀共产党员、全国抗击新冠肺炎疫情先进个人（追授）"
"河北省","河北省秦皇岛市海港区天洋新城社区党委书记、居委会主任－周慧霞－全国优秀党务工作者、党的二十大代表、全国模范人民调解员、全国优秀城乡社区工作者"
"河北省","河北省廊坊市广阳区爱民东道街道逸锦家苑社区党总支书记－刘军霞－全国模范人民调解员"
"河北省","河北省衡水市桃城区南盐道社区党组织书记－王所香－全国优秀城乡社区工作者"
"山西省","山西省怀仁市云东街道党工委副书记兼同仁路社区（原同仁家园社区）党委书记、居委会主任－吴志花－全国优秀党务工作者"
"山西省","山西省晋城市阳城县凤城镇南关社区党委委员－王洪亮－全国模范人民调解员"
"山西省","山西省临汾市尧都区铁路东街道三元社区党委书记、居委会主任－刘卫星－全国优秀城乡社区工作者、全国三八红旗手"
"山西省","山西省孝义市崇文街道留义社区党委书记、居委会主任－宋金锋－全国优秀城乡社区工作者"
"山西省","山西省忻州市五台县居民办事处西米市社区党支部书记－张秀珍－全国三八红旗手、全国优秀城乡社区工作者、全国抗击新冠疫情先进个人"
"山西省","山西省阳泉市城区南山路街道阳坡垴社区党委书记、居委会主任－牛军瑞－全国三八红旗手"
"山西省","山西省阳泉市城区上站街道市政府大院社区党委书记、居委会主任－董殿英－全国优秀城乡社区工作者"
"山西省","山西省长治市潞州区延安南路街道淮海社区党委书记、居委会主任－崔永明－全国优秀党务工作者、全国优秀城乡社区工作者"
"内蒙古自治区","内蒙古自治区巴彦淖尔市杭锦后旗陕坝镇西环社区党总支书记兼主任－王俊－全国优秀城乡社区工作者"
"内蒙古自治区","内蒙古自治区阿拉善盟阿左旗新华街道民族街社区党委书记兼居委会主任－李亮－全国优秀城乡社区工作者"
"内蒙古自治区","内蒙古自治区包头市昆都仑区昆工路街道东友谊22社区党委书记、居委会主任－郭孝红－全国优秀城乡社区工作者"
"内蒙古自治区","内蒙古自治区鄂尔多斯市东胜区建设街道新巷社区党支部书记－张立萍－全国优秀城乡社区工作者"
"内蒙古自治区","内蒙古自治区鄂尔多斯市准格尔旗迎泽街道南苑社区党支部书记兼居委会主任－邓郁－全国优秀城乡社区工作者"
"内蒙古自治区","内蒙古自治区呼伦贝尔市陈巴尔虎旗巴彦社区党委书记、居委会主任－宫晓杰－全国优秀城乡社区工作者"
"内蒙古自治区","内蒙古自治区乌海市海勃湾区林荫街道海馨社区党委书记、居委会主任－王玉静－全国优秀城乡社区工作者"
"辽宁省","辽宁省大连市沙河口区李家街道锦华社区党委书记兼居委会主任－党立－全国抗击新冠肺炎疫情先进个人"
"辽宁省","辽宁省大连市西岗区八一路街道林茂社区党委书记、居委会主任－郭志英－全国先进工作者"
